"Timecode","Content","Content_zh"
"00:41:54,438 --> 00:41:57,043","Where all my hopes are in the back of my head.","我所有的希望都藏在腦子後面。"
"00:41:57,043 --> 00:41:58,554","Any other questions?","還有其他問題嗎？"
"00:42:04,485 --> 00:42:10,028","Schafer: It's just under 20,000, I think. So, so far.","Schafer：大概不到兩萬吧 目前為止"
"00:42:11,424 --> 00:42:14,084","Schafer: We are. Yeah, so that's just to finish the whole Red's update.","Schafer：是的。對，所以那只是為了完成整個 Red’s 更新。"
"00:42:14,084 --> 00:42:18,499","What the team is working on now is a lot of, instead of diving into Part Two, is actually platform work.","團隊現在在做的很多事，不是直接投入第二幕，而其實是平台相關工作。"
"00:42:18,499 --> 00:42:25,139","You get it out on more platforms to sell it on like IOS and the other platforms.","要把它推到更多平台上銷售，像 iOS 和其他平台。"
"00:42:29,658 --> 00:42:32,215","Schafer: Sooner than we had previously thought we were going to do it.","Schafer：比我們之前想的要快"
"00:42:32,215 --> 00:42:35,012","Skillman: So it would be Act One available on iOS.","Skillman：所以會是在 iOS 上推出第一幕。"
"00:42:35,012 --> 00:42:37,613","Schafer: Yeah. OK. Let's talk about PR.","Schafer：是啊。 好 我們談談公關吧"
"00:42:37,613 --> 00:42:39,345","PR. What happened in the world of PR last week?","公關 上週在公關世界發生了什麼事？"
"00:42:39,345 --> 00:42:41,246","Rice: Well, like you said we launched Broken Age.","Rice：就像你說的，我們推出了《Broken Age》。"
"00:42:41,246 --> 00:42:43,308","So it's been a lot of, yay! Yay!","所以最近很多都是，耶！耶！"
"00:42:43,308 --> 00:42:46,411","[Applause].","[掌聲]"
"00:42:46,411 --> 00:42:50,917","Yeah. So it's been trying to keep that conversation going in the public as much as possible.","對。所以一直在盡量讓大眾持續討論這件事。"
"00:42:50,917 --> 00:42:53,463","So those are ongoing kind of conversations.","所以這些是正在進行的對話"
"00:42:53,463 --> 00:43:00,561","But yeah, now we're kind of shifting focus to AF stuff and getting everything ready to announce and launch that thing.","不過對，現在我們有點把焦點轉到 AF 的事情上，準備好要宣布並推出那個東西。"
"00:43:02,540 --> 00:43:04,860","Schafer: Yeah, OK, that's it.","Schafer：是啊，好吧，就是這樣。"
"00:43:04,860 --> 00:43:08,540","I think all of you would agree with me that Chris Remo's a big jerk.","我想你們都會同意我的看法，Chris Remo 是個大混蛋。"
"00:43:08,943 --> 00:43:10,548","I think, yeah.","我想是的"
"00:43:10,548 --> 00:43:16,043","[Scattered applause] And furthermore we were all talking about it and decided we didn't like him.","[零星掌聲] 而且我們大家都討論過了，決定不喜歡他。"
"00:43:16,043 --> 00:43:24,103","So I don't want that to influence you at all, but I think we need to have, Chris Remo is moving onto hang out with his friends,","所以我完全不想影響你們，但我想我們需要，Chris Remo 要離開去跟他的朋友混了，"
"00:43:24,103 --> 00:43:26,873","which is bad news for all of his, whatever you guys are.","這對他的所有……不管你們算什麼人來說，都是壞消息。"
"00:43:31,160 --> 00:43:32,500","But, I've been saving that one all week.","但我已經留了整整一週了"
"00:43:35,078 --> 00:43:41,663","So, but you're still here right now so, what happened last week in the world of the community of Double Fine?","不過你現在還在這裡，所以，上週 Double Fine 社群界發生了什麼事？"
"00:43:41,663 --> 00:43:49,410","Remo: An important thing for our community is that we launched Broken Age [applause].","Remo：對我們社群來說，一件重要的事是我們推出了《Broken Age》。[掌聲]"
"00:43:52,472 --> 00:43:59,756","That actually has been a cool thing to see because I'm seeing a lot of stuff from people who have never even necessarily played adventure games before.","這其實是件很酷的事，因為我看到很多從來不一定玩過冒險遊戲的人在討論。"
"00:43:59,756 --> 00:44:01,349","Schafer: I love all those people.","Schafer：我愛那些人"
"00:44:01,349 --> 00:44:06,657","Remo: Yeah. I mean there's, it's actually been kind of awesome to see, because a lot of them, you know, like with adventure game fans,","Remo：對。我的意思是，這其實很棒，因為很多人，你知道，像冒險遊戲粉絲，"
"00:44:06,657 --> 00:44:13,159","people come to, people come to it with like preconceptions and like all the, you know, the history that they have with the genre.","大家接觸它時會帶著先入為主的想法，還有他們對這個類型累積的所有歷史。"
"00:44:13,159 --> 00:44:16,765","And that's cool because that's the people that the game was inspired by in the first place.","這很酷，因為這些人本來就是這款遊戲最初的靈感來源。"
"00:44:16,765 --> 00:44:24,070","But it's also really cool to see all the reactions from people who don't have those preconceptions, because they'll be like, yeah,","但看到那些沒有這些先入為主想法的人的反應，也真的很酷，因為他們會說，"
"00:44:24,070 --> 00:44:26,778","so I was playing this thing and like I didn't know what it was and it seemed pretty cool.","我在玩這個東西，然後我不知道它是什麼，但感覺很酷。"
"00:44:26,778 --> 00:44:29,450","You just kind of walk around and like cool stuff happens.","你就到處走走，然後有很酷的事情發生。"
"00:44:29,450 --> 00:44:31,370","And like it was actually really awesome.","好像真的很棒"
"00:44:31,370 --> 00:44:34,511","And that kind of thing is surprisingly cool to read.","這種東西讀起來意外地很酷。"
"00:44:34,511 --> 00:44:40,426","So I've been trying to keep up with that stuff, just around the web and it's been really inspiring and awesome.","所以我一直在努力追這些網路上的內容，真的很鼓舞人心，也很棒。"
"00:44:40,426 --> 00:44:41,046","Schafer: Anything else?","Schafer：還有嗎？"
"00:44:41,046 --> 00:44:45,026","Mr. Remo? Anything? Anything else.","Remo 先生？還有嗎？還有別的嗎？"
"00:44:45,026 --> 00:44:46,913","Remo: I will miss you guys a lot.","Remo：我會想念你們的"
"00:44:46,920 --> 00:44:49,829","I really loved working here a lot and I'm bummed to be leaving.","我真的很喜歡在這裡工作，也很難過要離開。"
"00:44:49,829 --> 00:44:53,531","Schafer: Well, we'll miss you, wish you well and we still think you're a big jerk.","Schafer：我們會想你的 祝你好運 我們還覺得你是個大混蛋"
"00:44:55,780 --> 00:44:56,691","Who agrees with me?","誰同意我的看法？"
"00:44:56,691 --> 00:45:38,341","[Applause] [Music]","[掌聲] [音樂]"
"00:45:42,140 --> 00:45:46,942","Offscreen Voice: [singing] I guess he's not a monster, but he's so far away.","畫外音：[唱歌] 我想他不是怪物，但他離得好遠。"
"00:45:47,060 --> 00:45:56,160","Shay, we're meant to be for longer than forever.","Shay，我們注定要比永遠更久。"
"00:45:56,300 --> 00:45:57,683","Offscreen Voice: Who cares about Shay?","畫外音：誰在乎 Shay？"
"00:45:57,683 --> 00:45:59,339","I have evil deeds to do.","我還有壞事要做"
"00:45:59,340 --> 00:46:03,072","I used to be good like everyone else and Shay, but no!","我以前跟其他人還有 Shay 一樣善良，但現在不！"
"00:46:03,335 --> 00:46:05,475","I am actually evil.","其實我是邪惡的"
"00:46:05,720 --> 00:46:09,111","Offscreen Voice: [singing] for longer than forever.","畫外音：[唱歌] 比永遠更久。"
"00:46:09,780 --> 00:46:12,434","As constant as the stars.","恆如恆星。"
"00:46:12,434 --> 00:46:18,734","I close my eyes and I am where you are.","我閉上眼睛，就在你所在的地方。"
